ID,network_age,Churn_Probability
0,1914,0.764205483
1,2073,0.712971971
2,3139,0.764777109
5,174,0.800626643
6,431,0.745312803
8,619,0.736365062
9,924,0.822197105
10,941,0.828081153
12,1061,0.518139825
14,1207,0.507640945
15,1239,0.803704479
16,1251,0.799127977
18,1326,0.53732246
20,1370,0.641381202
21,1382,0.806458393
22,1390,0.707656936
23,1456,0.820262522
24,1458,0.610792676
25,1506,0.770238007
26,1507,0.595111712
30,1606,0.82533941
39,2150,0.642021343
44,2323,0.536495515
45,2347,0.745315084
46,2357,0.646632519
47,2413,0.766232672
48,2440,0.504707345
49,2442,0.735886296
55,2694,0.754390845
61,3054,0.589049803
64,3291,0.749032698
73,3746,0.735624903
79,3978,0.661521108
81,4082,0.566687076
93,1813,0.799183094
95,2870,0.834063224
96,1751,0.80200504
99,489,0.814206829
102,916,0.588576859
103,1046,0.575237207
104,1120,0.577972951
107,2490,0.78692595
112,1153,0.867397128
113,2122,0.556210663
115,2241,0.740769662
117,2464,0.674179235
119,3582,0.839209323
124,747,0.678236961
126,1585,0.806741606
131,133,0.564656373
132,183,0.533149748
133,248,0.617216381
134,255,0.528618031
135,265,0.551988981
136,288,0.51490405
137,342,0.655935452
138,347,0.55618515
139,352,0.831217284
141,382,0.83098175
142,394,0.567196526
143,399,0.527786275
147,413,0.825568994
148,419,0.683460087
149,420,0.834934776
150,427,0.705592706
152,435,0.787280578
153,436,0.571902192
156,459,0.838628355
159,479,0.71970197
160,482,0.505930775
161,485,0.84122503
162,488,0.868960031
163,494,0.836073376
164,499,0.590834822
167,507,0.671693257
168,507,0.680550445
172,525,0.645228616
173,545,0.783258307
174,549,0.80837858
176,554,0.639369539
177,567,0.698936418
179,580,0.86877391
182,599,0.833521992
184,615,0.814941871
185,634,0.666310957
187,643,0.727231993
188,667,0.636065915
189,671,0.830888554
190,680,0.769216042
191,683,0.590742252
195,727,0.705472757
202,884,0.826823809
205,936,0.699593722
207,942,0.734214746
208,944,0.765089979
213,1022,0.593814172
215,1038,0.722278106
219,1070,0.756280867
226,1128,0.794101359
228,1144,0.788585299
232,1201,0.819196218
233,1235,0.818654623
235,1244,0.812290479
237,1258,0.818152114
238,1259,0.80175705
239,1277,0.6154621
240,1307,0.79734965
241,1316,0.602993323
242,1329,0.815938392
246,1353,0.691098181
247,1357,0.817670991
248,1366,0.821461914
250,1370,0.83957752
251,1383,0.501787797
252,1404,0.782553142
253,1414,0.768361069
255,1420,0.787575485
259,1443,0.613773213
261,1452,0.768965084
262,1469,0.789381871
267,1488,0.590332313
269,1502,0.791186135
271,1518,0.586085052
273,1529,0.808177728
277,1597,0.795809346
282,1625,0.513904262
283,1649,0.765419542
288,1675,0.680612589
291,1706,0.707774199
294,1754,0.80174318
300,1785,0.595761948
303,1803,0.532917549
305,1822,0.854149504
307,1850,0.541474194
310,1867,0.714330275
313,1884,0.661299652
314,1886,0.789386415
315,1908,0.553669279
318,1916,0.794751546
320,1964,0.654959494
324,1987,0.626959737
327,2013,0.715256278
328,2029,0.507433985
332,2067,0.766940207
333,2081,0.64401136
335,2086,0.723569766
342,2132,0.560244938
344,2143,0.526035245
345,2162,0.572809458
346,2175,0.629759374
349,2185,0.753564534
351,2231,0.781655239
352,2236,0.750499431
354,2237,0.793686644
356,2261,0.502845098
357,2284,0.74146221
